,expertCQs,genCQs
49,"Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users, such as policy-makers, practitioners, and the general public?",How is machine learning applied in Requirements Engineering research?
50,"Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?",What is the role of artificial intelligence in the automation of Requirements Engineering processes?
51,"Do electronic resources (digital libraries and databases) provide all the functionalies that support the identification, selection, and retrieval of bibliographic and full-text information about SE research?",How do computational models and simulations contribute to Requirements Engineering?
52,Do the authors use multiple digital libraries including publications from SE and RE and related disciplines for (systematic literature) reviews?,What influence do data science and big data have on Requirements Engineering practices?
53,Which digital libraries with publications from SE and RE and related disciplines do authors use for (systematic literature) reviews?,What are notable case studies that exhibit the significance of sound Requirements Engineering?
54,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,
55,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,
56,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,
57,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,
58,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,
59,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,
60,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,
61,How many different empirical methods are used per publication?,
62,How has the number of empirical methods used per publication evolved over time?,
63,Which methods are used to synthesize evidence from data of different empirical methods?,
64,How many studies incorporate theories?,
65,How has the incorporation of theories in studies evolved over time?,
66,"For which purpose do authors incorporate theories into their studies (use, testing, modification, formulation)?",
67,"What is the proportion of theories from other disciplines, from other disciplines with adaptions for the SE and RE, and from SE and RE itself?",
68,"How has the proportion of theories from other disciplines, from other disciplines with adaptions for the SE (RE), and from SE (RE) itself evolved over time?",
69,How many theories from the SE and RE are there?,
70,How has the number of theories from SE and RE evolved over time?,
71,"On which levels of sophistication are the theories from SE and RE? (level 1, level 2, or level 3 defined in Sjøberg et al. [1])",
72,What is the proportion of each of the three levels of sophistication for theories from SE and RE?,
73,How has the proportion of each of the three levels of sophistication for theories from SE and RE evolved over time?,
74,"Do the authors use standards to describe the theories incorporated (used, tested, modified, formulated)?",
75,How often are standards used to describe the theories incorporated?,
76,How has the use of standards to describe the theories incorporated evolved over time?,
77,Do the authors refer to a reference (website or systematic review) that systematizes and characterizes the theory incorporated?,
